claim	value	source_time	in_notes
上下文窗口已可达百万 token	1,000,000	05:26	yes
MemGPT 讨论的上下文窗口约 8k token	8,000	34:47	yes
Hermes 技能索引约 3k token	3,000	19:41	yes
SkillsBench 唯一技能数	2,014,000	27:00	yes
SkillsBench 任务数 400	400	27:00	yes
SkillsBench 87 个任务、8 个领域	87	27:00	yes
SkillsBench 18 套模型配置	18	27:00	yes
SkillsBench 142 位贡献者	142	27:00	yes
SkillsBench 9,396 条轨迹	9,396	27:00	yes
SkillsBench 平均通过率下限	33.9%	29:15	yes
SkillsBench 平均通过率上限	50.5%	29:15	yes
技能带来的平均提升 16.6 个百分点	16.6	27:00	yes
评测中的 Oracle 上界	100%	27:00	yes
仍有 13 个任务被技能拖累	13	29:15	yes
忽略仓库约定的评审比例	15%	32:00	yes
批准有关键缺陷 PR 的比例	10%	32:00	yes
失败案例检索返回 5,578 条结果	5,578	67:00	yes
无记忆基线成功率	39.0	68:00	yes
失败案例对照图读数一	46.5	68:00	yes
失败案例对照图读数二	42.2	68:00	yes
失败案例对照图读数三	49.7	68:00	yes
失败案例对照图读数四	44.4	68:00	yes
失败案例对照图读数五	41.7	68:00	yes
失败案例对照图读数六	40.6	68:00	yes
裁判准确率 100 时的成功率	52.4	69:15	yes
裁判准确率 50 时的成功率	47	69:15	yes
过度检索起点成功率	45.5	70:30	yes
过度检索中段成功率	44.4	70:30	yes
过度检索后段成功率	41	70:30	yes
过度检索末段成功率	39	70:30	yes
无记忆时的步数	24.5	62:45	yes
文本技能时的步数	20.6	62:45	yes
代码技能时的步数	15.0	62:45	yes
无记忆检查点达成	41.3%	62:45	yes
文本技能检查点达成	59.5%	62:45	yes
代码技能检查点达成	80.2%	62:45	yes
仅结果奖励场景完成率	55.4	74:45	yes
两任务都成功场景完成率	56.6	74:45	yes
技能被复用场景完成率	60.7	74:45	yes
TroVE 库规模压缩比例一	74%	72:00	yes
TroVE 库规模压缩比例二	83%	72:00	yes
TroVE 库规模压缩比例三	90%	72:00	yes
AWM 无记忆基线成功率	10	54:45	yes
AWM 记忆带来的差距扩大	22.5	54:45	yes
