atom	status	evidence
跨任务记忆的动机：同一网站的搜索子过程会被多个任务复用	ok	fig_01 与第 1 节正文：两个购物任务共享 goto、find search box、fill、click Search
三种更新位置：上下文窗口、外部工件、模型权重	ok	fig_02 与第 1 节表格
上下文窗口更新的优缺点：保真但昂贵、嘈杂且不决定取舍	ok	fig_02 第 1 节对照表
外部工件的优缺点：可检查、可编辑、可移植，但必须被归纳和维护	ok	fig_02 与重要框
模型权重更新的优缺点：推理快、行为广，但更新慢、不透明、与模型绑定	ok	fig_02 第 1 节对照表
Episode 的定义与适用判据	ok	fig_03 第 2 节
Fact 的定义与适用判据	ok	fig_03 第 2 节
Skill 的定义与适用判据	ok	fig_03 第 2 节
记忆与技能的边界：保存交互所得 vs 可复用的行动知识	ok	fig_04 与第 2 节定义框
技能的三种载体：文本、代码或两者结合	ok	fig_04 与第 2 节
技能只在同一子任务重复出现时才有价值	ok	第 2 节末段
人工技能与学习技能的来源与主要负担差异	ok	第 2 节“人工技能与学习技能”段落
重复固定规格请求是使用技能的信号	ok	fig_05 与第 3 节开头
Agent Skills 标准：SKILL.md 的 YAML 元数据与正文	ok	fig_06 与第 3 节
技能包的可选目录：scripts、references、assets	ok	fig_06 与第 3 节
渐进披露第 1 层：系统提示中的技能索引	ok	fig_07 与第 3 节
渐进披露第 2 层：通过 skill_view 载入 SKILL.md 正文	ok	fig_08 与第 3 节
渐进披露第 3 层：通过终端脚本读取资源，代码本身不进入上下文	ok	fig_08 与第 3 节
技能数量过多会挤占上下文并分散模型注意力	ok	第 3 节“技能数量与触发”段落：3,000 token、技能越多越差
技能触发依赖模型生成的工具调用，因此需要评测	ok	第 3 节“技能数量与触发”段落
SkillsBench 的三阶段设计：构建、质量过滤、评测	ok	fig_09 与第 4 节
SkillsBench 的规模数字：唯一技能数、任务数、模型配置与轨迹数	ok	fig_09 与第 4 节：2,014,000、400、142、87、8、18、9,396
人工技能把平均通过率从 33.9% 提升到 50.5%	ok	fig_10 与第 4 节
技能增益与任务所需技能数、SKILL.md 长度相关	ok	fig_10 与第 4 节
技能在少数任务上会挤掉更好的默认策略	ok	fig_10 与第 4 节：13 of 87
技能包的三种来源：随框架捆绑、人工安装、智能体自建	ok	fig_11 与第 4 节
代码审查技能的维护闭环：记录、评分、找复发失败、改写技能	ok	fig_12 与第 4 节：15%、10%
MemGPT 式记忆层级：系统指令、工作上下文、归档与回忆存储	ok	fig_13 与第 5 节：8k、百万 token
记忆读写由工具调用控制	ok	fig_13 与第 5 节
记忆冲突更新：ADD、UPDATE、DELETE、NOOP 四种决策	ok	fig_14 与第 5 节与公式（2）
记忆更新与 Delta 类线性注意力的检索改写类比	ok	第 5 节末段
Reflexion：用自然语言反馈条件化第二次尝试	ok	fig_15 与第 6 节
相似轨迹条件化：把整条轨迹及其改写文本存入经验池并召回	ok	fig_16 与第 6 节
技能是可复用的任务片段：搜索商品与报告价格区间共享动作	ok	fig_17 与第 7 节
程序归纳前史：Voyager 的代码技能库与 DreamCoder 的函数抽取压缩	ok	fig_18 与第 7 节
在线学习评测设定：任务依次到达，成功即更新技能记忆	ok	fig_19 与第 7 节与公式（4）
累积成功率作为在线学习的评价指标	ok	公式（4）与 fig_19
技能生命周期：LEARN、USE、MAINTAIN 三段	ok	fig_20 与第 7 节
Agent Workflow Memory：用文本工作流模板表示技能	ok	fig_21 与第 8 节
跨任务记忆复利：带记忆的智能体能完成更复杂的任务	ok	fig_22 与第 8 节：10→22.5
文本技能与代码技能的同构对照：同一搜索子过程的两种表示	ok	fig_23 与第 8 节
代码技能的优势：可组合、可测试、可重构	ok	fig_24 与第 8 节与公式（5）
代码技能的代价：过于刚性，环境变化即失效	ok	fig_24、fig_25 与第 8 节
Agent Skill Induction：从轨迹归纳带文档字符串的函数并改写轨迹	ok	fig_24 与第 8 节：函数与文档字符串
SkillWeaver 的收录循环与代码检查器反馈修订	ok	fig_25 与第 8 节代码清单
代码技能压缩任务步数：两次地址更新变成两次函数调用	ok	fig_26 与第 8 节
代码技能在成功率与交互步数上的双重收益	ok	fig_27 与第 8 节：41.3/59.5/80.2、24.5/20.6/15.0
技能跨站点泛化失败：写死控件类型即失效	ok	fig_28 与第 9 节
PolySkill：抽象类定义接口，站点各自实现，按需激活	ok	fig_29 与第 9 节
三种表示法的对照：检索轨迹、文本技能、代码技能	ok	fig_30 与第 9 节表格
从失败轨迹提炼文本策略，而非直接存失败轨迹	ok	fig_31 与第 10 节：5,578
失败案例对不同记忆类型的影响不同	ok	fig_32 与第 10 节
裁判准确率对记忆方法性能的影响与可用区间	ok	fig_33 与第 10 节：52.4→47
过度检索的代价：召回更多经验反而降低成功率	ok	fig_34 与第 10 节：45.5/44.4/41/39
TroVE 式记忆整理：按使用频次淘汰函数并压缩技能库	ok	fig_35 与第 9 节：74%、83%、90% 压缩
用强化学习训练技能归纳器，并加入技能复用奖励	ok	fig_36 与第 10 节与公式（6）：55.4/56.6/60.7
训练奖励设计：把后续任务放进同一次 rollout	ok	fig_36 与第 10 节
开放问题：什么经验值得保留、何时删除或修订技能、人与智能体如何分工	ok	第 11 节总结与讨论页
