figure	frame	start	end	topic
figures/fig_01_shared_task_structure.jpg	frames/f_0015.png	03:30	03:45	购物网站两个任务共享的搜索子过程与任务专属收尾：搜索框定位、输入查询、点击搜索按钮可被复用 [ocr]
figures/fig_02_update_locations.jpg	frames/f_0034.png	08:15	08:30	上下文窗口、外部工件、模型权重三种更新位置的优缺点对照表 [ocr]
figures/fig_03_experience_types.jpg	frames/f_0046.png	11:15	11:30	Episode／Fact／Skill 三类可保留经验的判据与例子 [ocr]
figures/fig_04_memory_vs_skill.jpg	frames/f_0051.png	12:30	12:45	记忆与技能的区别：保存交互所得 vs 可复用的行动知识 [ocr]
figures/fig_05_what_is_a_skill.jpg	frames/f_0063.png	15:30	15:45	把重复的代码审查要求固化成一个技能：固定规格、反复执行 [ocr]
figures/fig_06_skill_package.jpg	frames/f_0094.png	23:15	23:30	技能包目录结构与 SKILL.md 的必填元数据及可选子目录 [ocr]
figures/fig_07_progressive_index.jpg	frames/f_0099.png	24:30	24:45	渐进披露第 1 层：系统提示中只放技能名与描述构成的索引 [ocr]
figures/fig_08_progressive_loading.jpg	frames/f_0104.png	25:45	26:00	渐进披露三层：系统提示索引、skill_view 载入正文、终端脚本产出 [ocr]
figures/fig_09_skillsbench_pipeline.jpg	frames/f_0109.png	27:00	27:15	SkillsBench 的三阶段流水线：构建、质量过滤、评测 [ocr]
figures/fig_10_skillsbench_gains.jpg	frames/f_0118.png	29:15	29:30	SkillsBench 中人工技能带来的平均通过率提升与适用边界 [ocr]
figures/fig_11_skill_sources.jpg	frames/f_0119.png	29:30	29:45	技能包三种来源：随框架捆绑、人工安装、智能体自建 [ocr]
figures/fig_12_code_review_maintain.jpg	frames/f_0129.png	32:00	32:15	代码审查技能的维护闭环：记录、评分、找复发失败、改写 SKILL.md [ocr]
figures/fig_13_memgpt_memory.jpg	frames/f_0140.png	34:45	35:00	MemGPT 式外部记忆：系统指令、工作上下文、归档/回忆存储与工具读写 [ocr]
figures/fig_14_memory_conflicts.jpg	frames/f_0148.png	36:45	37:00	记忆抽取与更新阶段：ADD／UPDATE／DELETE／NOOP 四种冲突处理决策 [ocr]
figures/fig_15_reflexion_feedback.jpg	frames/f_0165.png	41:00	41:15	Reflexion：一次尝试、自然语言反馈、重试同一任务 [ocr]
figures/fig_16_trajectory_conditioning.jpg	frames/f_0175.png	43:30	43:45	相似轨迹条件化：把过去成功与失败轨迹整条存入经验池并按任务召回 [ocr]
figures/fig_17_skill_reusable_chunks.jpg	frames/f_0185.png	46:00	46:15	技能是可复用的任务片段：搜索商品与报告价格区间共享同一段动作 [ocr]
figures/fig_18_program_induction.jpg	frames/f_0193.png	48:00	48:15	早期技能／程序归纳：Voyager 的代码技能库与 DreamCoder 的函数抽取 [ocr]
figures/fig_19_online_induction.jpg	frames/f_0200.png	49:45	50:00	在线评测设定：任务依次到达，成功即更新技能记忆，累积成功率随之增长 [ocr]
figures/fig_20_skill_lifecycle.jpg	frames/f_0205.png	51:00	51:15	技能生命周期：LEARN（归纳、判定、收录）、USE（检索、行动）、MAINTAIN（修复、淘汰） [ocr]
figures/fig_21_awm_text_workflow.jpg	frames/f_0212.png	52:45	53:00	Agent Workflow Memory：用文本模板表示可复用工作流并放入上下文 [ocr]
figures/fig_22_awm_compounding.jpg	frames/f_0220.png	54:45	55:00	跨任务记忆复利：带工作流记忆的智能体能完成越来越复杂的任务 [ocr]
figures/fig_23_text_vs_code.jpg	frames/f_0230.png	57:15	57:30	同一搜索子过程的两类表示：文本加示例轨迹 vs 可调用代码函数 [ocr]
figures/fig_24_asi_code_skills.jpg	frames/f_0238.png	59:15	59:30	Agent Skill Induction：从轨迹归纳出带文档字符串的代码函数并改写成工具调用 [ocr]
figures/fig_25_skillweaver_testing.jpg	frames/f_0243.png	60:30	60:45	SkillWeaver：技能收录循环，以及用代码检查器发现未使用参数并修订 [ocr]
figures/fig_26_task_compression.jpg	frames/f_0250.png	62:15	62:30	代码技能压缩任务步数：两次地址更新从逐步点击变成两次函数调用 [ocr]
figures/fig_27_code_text_results.jpg	frames/f_0252.png	62:45	63:00	文本技能与代码技能在成功率与交互步数上的对照结果 [ocr]
figures/fig_28_generalization_failure.jpg	frames/f_0256.png	63:45	64:00	技能跨站点的泛化失败：把下拉选择写死后遇到单选按钮即失效 [ocr]
figures/fig_29_polyskill_abstraction.jpg	frames/f_0258.png	64:15	64:30	PolySkill：抽象类定义接口，各站点提供具体实现，按站点切换实例 [ocr]
figures/fig_30_representation_tradeoffs.jpg	frames/f_0264.png	65:45	66:00	检索轨迹、文本技能、代码技能三种表示法的强项与弱点对照 [ocr]
figures/fig_31_learning_from_failures.jpg	frames/f_0269.png	67:00	67:15	从失败轨迹提炼文本策略，以及更具体的检索词与每页显示条数建议 [ocr]
figures/fig_32_failures_memory_types.jpg	frames/f_0273.png	68:00	68:15	加入失败案例对不同记忆类型的影响：轨迹与工作流无益，文本策略有益 [ocr]
figures/fig_33_judge_accuracy.jpg	frames/f_0278.png	69:15	69:30	裁判准确率消融：从理想裁判到随机裁判，性能随之下降但仍有较大可用区间 [ocr]
figures/fig_34_over_retrieval.jpg	frames/f_0283.png	70:30	70:45	过度检索的代价：召回更多经验反而使成功率下降 [ocr]
figures/fig_35_memory_consolidation.jpg	frames/f_0289.png	72:00	72:15	记忆整理：按使用频次淘汰函数，在保持性能的同时压缩技能库 [ocr]
figures/fig_36_training_skill_inducer.jpg	frames/f_0300.png	74:45	75:00	训练技能归纳器：把共享记忆放进强化学习回路，奖励包含技能复用 [ocr]
