claim	value	source_time	in_notes
算术例子：(35.223 × 1.6) / 7 交给计算器工具	35.223	1:15	yes
算术例子中的乘数 1.6	1.6	1:15	yes
代码执行例子：18、23、41、54 的均值 34.0	34.0	8:30	yes
自定义函数例子：购物车总价 31.42 美元	31.42	12:00	yes
CodeAct 评测覆盖 17 个模型，代码方案交互轮数最少	17	14:00	yes
串行工具调用一轮约 6.4 秒（weather/calendar/flight/generate）	6.4	45:30	yes
并行工具调用同一任务约 2.8 秒	2.8	45:45	yes
供应商工具调用错误率榜首约 15.1%	15.1%	51:30	yes
同一模型最优供应商的工具调用错误率低至 0.01%	0.01%	52:24	yes
同一模型最优供应商错误率区间下沿 0.05%	0.05%	52:28	yes
错误率榜上的次高档示例 2.97%	2.97	51:45	yes
错误率榜上的另一档示例 2.75%	2.75	51:45	yes
Qwen 3.8 的工具调用协议：控制 token + call ID	3.8	21:00	yes
DeepSeek V3.2 的工具调用协议：DSML 调用块	3.2	21:00	yes
微调时应当 100% 匹配模型既有工具调用格式	100%	22:48	yes
代码作为元工具的例子：200 个面包卖出若干还剩多少	200	11:00	yes
提示里可能一次给出 50 到 70 个 API 函数	50	10:00	yes
