figure	frame	start	end	topic
figures/fig_01_tool_definition.jpg	f_0004.png	00:00:45	00:00:59	工具的定义：语言模型调用外部程序的接口；模型提议，外部软件决定是否/如何执行[ocr]
figures/fig_02_benefits.jpg	f_0008.png	00:01:45	00:01:59	工具的两类收益：extend（模型参数中不存在的信息或动作）与 facilitate（能做但更慢更笨）[ocr]
figures/fig_03_scenarios.jpg	f_0014.png	00:03:15	00:03:29	工具使用场景表：需求→示例工具→收益（新鲜证据/可靠计算/私有状态…）；benefit 必须盖过延迟与风险[ocr]
figures/fig_04_textual.jpg	f_0025.png	00:06:00	00:06:14	文本回复：finish(text) 是 harness 的控制动作而非外部工具[ocr]
figures/fig_05_retrieval.jpg	f_0030.png	00:07:15	00:07:29	信息检索：search_web(query) 把当天的网页内容带回上下文[ocr]
figures/fig_06_code_exec.jpg	f_0035.png	00:08:30	00:08:44	代码执行：execute_code 在隔离环境运行程序，本例返回 34.0[ocr]
figures/fig_07_image_gen.jpg	f_0036.png	00:08:45	00:08:59	图像生成：generate_image(query)，模型会先把提示词扩写得更具体[ocr]
figures/fig_08_custom_fn.jpg	f_0049.png	00:12:00	00:12:14	自定义函数：create_grocery_cart 返回总价 $31.42 的购物车[ocr]
figures/fig_09_codeact_result.jpg	f_0057.png	00:14:00	00:14:14	CodeAct 结果：17 个模型上 code 方案成功率最高、交互轮数最少[ocr]
figures/fig_10_code_power.jpg	f_0063.png	00:15:30	00:15:44	代码是高功率工具：表达力强（循环/变量/库）但难约束、影响面大，需要沙箱与资源限制[ocr]
figures/fig_11_calls_as_tokens.jpg	f_0067.png	00:16:30	00:16:44	工具调用即 token：文本续写 vs 工具续写（<tool_call> get_weather(...)），由 harness 执行[ocr]
figures/fig_12_tool_structure.jpg	f_0084.png	00:20:45	00:20:59	定义进、调用出：提示里是 <tools> 定义，模型吐出 <tool_call> JSON，API 再补 call ID[ocr]
figures/fig_13_protocols.jpg	f_0086.png	00:21:15	00:21:29	同一个调用、不同模型协议：Qwen 3.8、Mistral Small 4、DeepSeek V3.2 的三种表示[ocr]
figures/fig_14_dispatch.jpg	f_0096.png	00:23:45	00:23:59	分发一次工具调用：初始化注册 name→definition，解析后经 tools_map 派发到具体 Tool[ocr]
figures/fig_15_call_id.jpg	f_0102.png	00:25:15	00:25:29	结果按 call ID 配对：assistant 的 tool_calls 与 role=tool 的 tool_call_id 一一对应[ocr]
figures/fig_16_malformed.jpg	f_0111.png	00:27:30	00:27:44	畸形调用：JSON 缺一个右括号，harness 直接解析失败[ocr]
figures/fig_17_constraints.jpg	f_0114.png	00:28:15	00:28:29	四类约束：syntax（合法 JSON）、shape（必有字段）、types（city 是字符串）、values；只保证形式不保证真值[ocr]
figures/fig_18_schema_tree.jpg	f_0118.png	00:29:15	00:29:29	schema 合法 vs 非法：在同一棵 JSON 语法树上，units="K" 走到 unit 规则时无法归约[ocr]
figures/fig_19_pushdown.jpg	f_0129.png	00:32:00	00:32:14	下推自动机：状态机加一个栈，记住嵌套结构在哪里闭合[ocr]
figures/fig_20_token_mask.jpg	f_0134.png	00:33:15	00:33:29	token masking：输出 logits 经逐 token 掩码、softmax 与采样，非法 token 永不出现[ocr]
figures/fig_21_xgrammar.jpg	f_0141.png	00:35:00	00:35:14	XGrammar 案例：下推自动机 + 高效掩码生成 + 与推理引擎重叠优化[ocr]
figures/fig_22_fastapi.jpg	f_0148.png	00:36:45	00:36:59	REST：用 FastAPI 把进程内函数暴露成 HTTP 接口，并带 API key 鉴权[ocr]
figures/fig_23_mcp_diagram.jpg	f_0163.png	00:40:30	00:40:44	MCP 把 host 连到多个 server（本地 stdio / 远程 HTTP），是另一种 agent-facing 接口[ocr]
figures/fig_24_mcp_creds.jpg	f_0167.png	00:41:30	00:41:44	MCP 独立凭证：upstream secret 留在 server，agent 只拿到 MCP key[ocr]
figures/fig_25_rest_vs_mcp.jpg	f_0173.png	00:43:00	00:43:14	REST 与 MCP 对照：共享名字/描述/JSON Schema，差异在发现、调用传输与认证契约[ocr]
figures/fig_26_serial_cost.jpg	f_0183.png	00:45:30	00:45:44	串行工具调用成本：weather/calendar/flight/generate 依次执行约 6.4 秒[ocr]
figures/fig_27_parallel_cost.jpg	f_0184.png	00:45:45	00:45:59	并行工具调用：一轮生成 + 一次等待，约 2.8 秒（取最慢者）[ocr]
figures/fig_28_dependency.jpg	f_0185.png	00:46:00	00:46:14	并行边界：只有彼此独立且可安全并发的调用才能并行，有依赖必须排序[ocr]
figures/fig_29_bfcl.jpg	f_0199.png	00:49:30	00:49:44	Berkeley Function Calling Leaderboard V4：单轮 / 多轮 / agentic / robustness 四个维度[ocr]
figures/fig_30_eval_stack.jpg	f_0203.png	00:50:30	00:50:44	评测整条栈：选对工具、参数正确、顺序正确、端到端成功率（各层失败模式不同）[ocr]
figures/fig_31_quality_dims.jpg	f_0206.png	00:51:15	00:51:29	质量还有运行维度：效率（延迟/调用数/token/成本）、可靠性（超时/重试）、安全（策略与副作用）[ocr]
figures/fig_32_provider_errors.jpg	f_0211.png	00:52:30	00:52:44	同一模型的供应商工具调用错误率：Cloudflare 15.1% 级差 vs 最优 0.01–0.05%[ocr]
figures/fig_33_layered.jpg	f_0227.png	00:56:30	00:56:44	总结：工具使用是分层系统——能力层（检索/执行/生成/应用）与机制层（schema、协议、验证、配对）[ocr]
