figure	frame	start	end	topic
figures/fig_01_title.jpg	f_0001.png	00:00:00	00:00:14	标题页：What Are Agents? And How Do They Work?（CMU 11-768，Daniel Fried · Graham Neubig）[ocr]
figures/fig_02_16_agents_compiler.jpg	f_0008.png	00:01:45	00:01:59	能力现状：anthropics/claude-s-c-compiler——16 个 agent 两周写出 10 万行 C 编译器，可编译 Linux 内核[ocr]
figures/fig_03_openclaw_incident.jpg	f_0013.png	00:03:00	00:03:14	OpenClaw 翻车实录：核选项清空收件箱、用户叫停无效、事后承认“我记得，但我违背了它”[ocr]
figures/fig_04_autonomy_matrix.jpg	f_0029.png	00:07:00	00:07:14	自主性矩阵：六个任务 × Never / Ask first / Autonomous，现场投票结果（课堂实证）[ocr]
figures/fig_05_visualwebarena_task.jpg	f_0032.png	00:07:45	00:07:59	VisualWebArena 任务示例：找到匹兹堡评分≥4.3、评论≥200 的泰餐，再选评分最高者[ocr]
figures/fig_06_openhands_browser_test.jpg	f_0044.png	00:10:45	00:10:59	OpenHands 浏览器实测：写好的 Todo List 应用由 agent 自己在浏览器里点击验收[ocr]
figures/fig_07_what_is_agent.jpg	f_0067.png	00:16:30	00:16:44	“什么是一个 agent”：Russell & Norvig 的感知—行动定义，以及环境与观测的实例化[ocr]
figures/fig_08_lm_recap.jpg	f_0076.png	00:18:45	00:18:59	语言模型回顾：next-token prediction 与 chain of thought（例 2×(3+4)→10）[ocr]
figures/fig_09_tool_definition.jpg	f_0085.png	00:21:00	00:21:14	工具定义：name + description + JSON Schema 参数，经 chat template 渲染成文本[ocr]
figures/fig_10_tool_calls_results.jpg	f_0091.png	00:22:30	00:22:44	工具调用与结果：tool_calls JSON 与 <tool_call>/<tool_response> 模板，结果回填 content[ocr]
figures/fig_11_actions_as_tokens.jpg	f_0096.png	00:23:45	00:23:59	从 LLM 到 agent：动作也是 token 序列，harness 负责解析、校验与执行（Toolformer, 2023）[ocr]
figures/fig_12_react_loop.jpg	f_0105.png	00:26:00	00:26:14	An agent is a model in a loop：ReAct（Yao et al., ICLR 2023）的 Context/History/Tool/Reasoning/Call 循环[ocr]
figures/fig_13_minimal_react_code.jpg	f_0109.png	00:27:00	00:27:14	mini-swe-agent 的最小 ReAct 循环代码；作业 1 要求实现并扩展同类控制器[ocr]
figures/fig_14_swebench_trajectory.jpg	f_0114.png	00:28:15	00:28:29	SWE-bench 真实 agent 轨迹：system/user 消息、蓝字思维链、bash 工具调用与退出码[ocr]
figures/fig_15_capabilities_list.jpg	f_0142.png	00:35:15	00:35:29	Agent 需要的六种能力：准确工具调用、长上下文一致性、可定制性、复杂任务管理、环境理解、安全[ocr]
figures/fig_16_two_ways_to_build.jpg	f_0158.png	00:39:45	00:39:59	两条建设路线：LLM training 与 harness engineering，能力分别沉淀在模型策略与模型-框架组合[ocr]
figures/fig_17_training_pipeline.jpg	f_0168.png	00:41:45	00:41:59	agent 行为如何被训练：Pretraining → Mid-training/SFT → RL 三段与各自的数据形态[ocr]
figures/fig_18_cap1_tool_calling.jpg	f_0176.png	00:43:45	00:43:59	能力 1/6 准确工具调用：Select→Arguments→Validate→Execute 流程，文法约束解码 + 工具轨迹 SFT[ocr]
figures/fig_19_cap2_long_context.jpg	f_0180.png	00:44:45	00:44:59	能力 2/6 长上下文一致性：History/Summary/Memory/Retrieval，压缩、动态记忆检索、子 agent 委派[ocr]
figures/fig_20_cap3_customizability.jpg	f_0184.png	00:45:45	00:45:59	能力 3/6 可定制性：agent memory、skills、自定义工具，以及从用户反馈做 RL[ocr]
figures/fig_21_cap4_task_mgmt.jpg	f_0188.png	00:46:45	00:46:59	能力 4/6 复杂任务管理：planning/decomposition 工具与子 agent 委派；Goal/Plan/Delegate/Verify[ocr]
figures/fig_22_cap5_environment.jpg	f_0196.png	00:48:45	00:48:59	能力 5/6 环境理解：Observe/Act/Interface；领域 skills、期望观测形状 SFT、领域环境 RL[ocr]
figures/fig_23_cap6_safety.jpg	f_0203.png	00:50:15	00:50:29	能力 6/6 安全：沙箱、限制凭证、监控轨迹，以及 safety-aware RL[ocr]
figures/fig_24_agents_are_systems.jpg	f_0213.png	00:52:45	00:52:59	“agent 是系统而不只是模型”：Harness / Sandbox / Inference / Model 四层[ocr]
figures/fig_25_harness_engineering.jpg	f_0219.png	00:54:15	00:54:29	Harness engineering：状态、工具、记忆与控制流；Coding agents 与 Orchestrators 两类代表软件[ocr]
figures/fig_26_sandbox.jpg	f_0225.png	00:55:45	00:55:59	Sandbox：隔离代码与工具执行、限制算力/网络/文件访问，Docker / Apptainer 与云端方案[ocr]
figures/fig_27_lm_inference.jpg	f_0230.png	00:56:45	00:56:59	LM inference：可靠服务生成、批处理与 KV cache 复用，vLLM / SGLang[ocr]
figures/fig_28_training_systems.jpg	f_0232.png	00:57:30	00:57:44	Training systems：准备数据与收集 rollout、协调分布式 worker、checkpoint/评估/复现[ocr]
