atom	status	evidence
agent 历史线性增长导致累计输入二次增长（含公式）	ok	§1.1（fig_01，转写 1:15--2:15）
讲者的小例子：每轮新增 6/11/16/21/26，五轮累计 80	ok	§1.1（fig_01）
OpenHands 1500 会话平均 77,922 token 与会话构成比例	ok	§1.2（fig_02）
固定前缀并不小：system prompt 15,000--18,000，总前缀 8,000--20,000	ok	§1.2（转写 3:15--3:35）
工具结果 37% 是最大项，推理轨迹约为模型回复的 5 倍	ok	§1.2（fig_02）
两类挑战：capacity 与 efficiency 的分工	ok	§1.3（fig_03，转写 4:36--5:20）
服务栈：scheduler、prefill、decode、KV cache 读写	ok	§2.1（fig_04）
prefill 计算密集、decode 带宽密集	ok	§2.2（fig_05）
四项指标 TTFT/TPOT/吞吐/成本及取舍	ok	§2.3（fig_06，转写 7:55--10:40）
同一模型供应商吞吐 63/48/24 与 3 token/s	ok	§2.4（转写 9:09--9:35）
注意力的 Q/K/V 投影与 causal 掩码、A=softmax(QK^T/√dk)、O=AV	ok	§3.1（fig_07）
二次代价：N=10^6 约 10^12 次比较、算力 10^20 量级	ok	§3.1（转写 15:30--16:10）
广告上下文 vs 有效上下文：大海捞针热力图与 RULER/HELMET	ok	§3.2（fig_08）
agent 忘记中途指令、删掉被禁止删除的文件	ok	§3.2（转写 13:45--14:33）
局部建模 O(n^2) 到 O(wn)	ok	§4.1（fig_09）
混合架构表：六家模型的局部:全局配比与机制	ok	§4.1（fig_10）
滑动窗口因果掩码 0<=i-j<w 与 512 的典型窗口	ok	§4.2（fig_11，转写 19:27--19:40）
线性注意力去掉 softmax、用双线性分数并重结合为状态矩阵	ok	§4.3（fig_12）
DeltaNet 预测与误差：v_hat、e、beta 的 delta 规则写入	ok	§5.1（fig_13）
Gated DeltaNet 的整体衰减 alpha 与定向修正	ok	§5.2（fig_14）
KDA 逐通道衰减 Diag(alpha) 与细粒度保留	ok	§5.3（fig_15）
稀疏注意力两族：固定模式 S_fix 与内容相关 S_dyn=TopK	ok	§6.1（fig_16）
KV 压缩：GQA/MQA 减少 KV 头、MLA 缓存 latent	ok	§6.2（fig_17）
短到长训练三阶段与 packed sequences 的边界	ok	§7.1（fig_18，转写 37:10--37:43）
RoPE 的旋转与相对位移 q_i^T R(j-i) k_j	ok	§7.2（fig_19）
NoPE：因果掩码与循环动态已提供顺序信息	ok	§7.2（fig_20，转写 40:39--42:35）
位置插值 L'=sL 与 R(t)->R(t/s)	ok	§7.3（fig_21）
YaRN 的频率分段插值与注意力温度	ok	§7.3（fig_23）
各模型长度扩展路径表	ok	§7.3（fig_22）
四类长上下文训练数据	ok	§8.1（fig_24）
数据配方表：Kimi/GLM/Nemotron/DeepSeek 的课程与来源	ok	§8.1（fig_25，表格）
上下文并行（Ring Attention）的内存与精确计算	ok	§8.2（fig_26）
32K 以上上下文并行重要；新机制缺 kernel 的现实	ok	§8.2（转写 50:44--52:10）
KV 缓存机制：调用内扩展、调用间工具结果并入前缀	ok	§9.1（fig_27）
到第 50 步前缀约为新增输入的 50 倍	ok	§9.1（转写 53:52--54:06）
缓存输入约为常规输入的十分之一；输出约为输入的 5 倍	ok	§9.3（fig_29，转写 55:04--56:22）
命中率 80%--90%、90%--95% 才算健康	ok	§9.3（转写 55:28--56:00）
PagedAttention 的物理块、逻辑块与 block table	ok	§10.1（fig_30）
RadixAttention 的基数树前缀匹配与 LRU 驱逐	ok	§10.2（fig_31）
缓存感知路由：前缀长度减队列惩罚	ok	§10.3（fig_32）
供应商命中率差异 2.2%--95.0%；缓存过期与不降价	ok	§10.3（fig_33，转写 1:00:34--1:02:52）
harness 三条纪律：稳定前缀、变化状态追加尾部、避免频繁换模型	ok	§10.4（fig_34，lstlisting）
压缩例子：24K 行日志压成原因、命令、证据路径与下一步	ok	§11.1（fig_35）
压缩作为状态估计：s_t=C(H_t,B)、行为保真/表示有界/可恢复	ok	§11.2（fig_36）
压缩保留什么：锚点、最近尾部、checkpoint、evidence store	ok	§11.3（fig_37）
压缩策略三要素：触发、选择、替换	ok	§11.4（fig_38）
反复压缩的漂移 S_{k+1}=C(S_k ⊕ R_k)	ok	§11.5（fig_39）
基于续跑的评测：状态召回、任务成功、效率、稳定性	ok	§11.5（fig_40）
OpenHands 压缩教训：基准不掉分但真实使用重复提交 PR、丢中途指令	ok	§11.5（转写 1:12:26--1:14:01）
长上下文系统栈五层总结	ok	§12（fig_41）
